Address,flat_type,floor_area_list,resale_price_list
50 C'wealth Dr S(142050),3-Room,63.0 sqm,"$650,000"
475A Upp Serangoon Cres S(531475),3-Room,67.0 sqm,"$650,000"
435C Bt Batok West Ave 5 S(653435),4-Room,93.0 sqm,"$650,000"
453A Bt Batok West Ave 6 S(651453),4-Room,93.0 sqm,"$650,000"
103A Depot Rd S(101103),4-Room,100.0 sqm,"$650,000"
17A Telok Blangah Cres S(091017),4-Room,101.0 sqm,"$650,000"
141 Simei St 2 S(520141),4-Room,104.0 sqm,"$650,000"
166 Tampines St 12 S(521166),4-Room,103.0 sqm,"$650,000"
720 Bedok Reservoir Rd S(470720),4-Room,104.0 sqm,"$650,000"
334 Hougang Ave 5 S(530334),4-Room,104.0 sqm,"$650,000"
336 Ang Mo Kio Ave 1 S(560336),4-Room,91.0 sqm,"$650,000"
637 Jurong West St 61 S(640637),5-Room,110.0 sqm,"$650,000"
128A Punggol Field Walk S(821128),5-Room,110.0 sqm,"$650,000"
318A Anchorvale Link S(541318),5-Room,110.0 sqm,"$650,000"
589C Montreal Dr S(753589),5-Room,110.0 sqm,"$650,000"
465 Segar Rd S(670465),5-Room,110.0 sqm,"$650,000"
688B Choa Chu Kang Dr S(682688),5-Room,110.0 sqm,"$650,000"
602 Jurong West St 62 S(640602),5-Room,115.0 sqm,"$650,000"
227A Compassvale Dr S(541227),5-Room,122.0 sqm,"$650,000"
678 Choa Chu Kang Cres S(680678),5-Room,122.0 sqm,"$650,000"
756 Woodlands Ave 4 S(730756),5-Room,122.0 sqm,"$650,000"
517 Choa Chu Kang St 51 S(680517),5-Room,121.0 sqm,"$650,000"
240 Yishun Ring Rd S(760240),5-Room,121.0 sqm,"$650,000"
323D Sumang Walk S(824323),4-Room,93.0 sqm,"$655,000"
104B Canberra St S(752104),4-Room,93.0 sqm,"$655,000"
354A Admiralty Dr S(751354),5-Room,110.0 sqm,"$655,000"
98 Bedok Nth Ave 4 S(460098),5-Room,120.0 sqm,"$655,000"
262 Toa Payoh East S(310262),3-Room,68.0 sqm,"$656,000"
574B Woodlands Dr 16 S(732574),4-Room,93.0 sqm,"$658,000"
561A Jurong West St 42 S(641561),4-Room,93.0 sqm,"$658,000"
31 Eunos Cres S(400031),3-Room,60.0 sqm,"$658,888"
162A Rivervale Cres S(541162),4-Room,93.0 sqm,"$658,888"
290B Compassvale Cres S(542290),4-Room,90.0 sqm,"$658,888"
224B Sumang Lane S(822224),4-Room,93.0 sqm,"$660,000"
441A Fernvale Rd S(791441),4-Room,93.0 sqm,"$660,000"
257B Compassvale Rd S(542257),4-Room,85.0 sqm,"$660,000"
304 Ang Mo Kio Ave 1 S(560304),4-Room,98.0 sqm,"$660,000"
807C Choa Chu Kang Ave 1 S(683807),5-Room,112.0 sqm,"$660,000"
979A Buangkok Cres S(531979),5-Room,110.0 sqm,"$660,000"
352B Canberra Rd S(752352),5-Room,110.0 sqm,"$660,000"
758 Woodlands Ave 6 S(730758),5-Room,123.0 sqm,"$660,000"
795 Woodlands Dr 72 S(730795),5-Room,123.0 sqm,"$660,000"
337 Ubi Ave 1 S(400337),5-Room,122.0 sqm,"$660,000"
336C Anchorvale Cres S(543336),4-Room,92.0 sqm,"$665,000"
678C Punggol Dr S(823678),4-Room,93.0 sqm,"$668,000"
702 Pasir Ris Dr 10 S(510702),4-Room,112.0 sqm,"$668,000"
303 Yishun Ctrl S(760303),4-Room,105.0 sqm,"$668,000"
22 Boon Keng Rd S(330022),4-Room,88.0 sqm,"$668,000"
450 Bt Panjang Ring Rd S(670450),5-Room,121.0 sqm,"$668,000"
339 Hougang Ave 7 S(530339),5-Room,121.0 sqm,"$668,000"
625B Woodlands Dr 52 S(732625),5-Room,124.0 sqm,"$668,888"
635C Punggol Dr S(823635),4-Room,93.0 sqm,"$670,000"
633A Punggol Dr S(821633),4-Room,92.0 sqm,"$670,000"
116 Simei St 1 S(520116),4-Room,104.0 sqm,"$670,000"
43 Cambridge Rd S(210043),4-Room,91.0 sqm,"$670,000"
107B Edgefield Plains S(822107),5-Room,110.0 sqm,"$670,000"
310B Anchorvale Rd S(542310),5-Room,113.0 sqm,"$675,000"
612D Punggol Dr S(824612),4-Room,93.0 sqm,"$679,000"
354A Admiralty Dr S(751354),5-Room,113.0 sqm,"$679,000"
423 Clementi Ave 1 S(120423),3-Room,70.0 sqm,"$680,000"
8 Boon Keng Rd S(330008),3-Room,68.0 sqm,"$680,000"
438B Sengkang West Ave S(792438),4-Room,94.0 sqm,"$680,000"
733 Tampines St 71 S(520733),4-Room,103.0 sqm,"$680,000"
713 Tampines St 71 S(520713),4-Room,99.0 sqm,"$680,000"
453 Hougang Ave 10 S(530453),4-Room,104.0 sqm,"$680,000"
116 Simei St 1 S(520116),4-Room,104.0 sqm,"$680,000"
104 Bt Purmei Rd S(090104),4-Room,105.0 sqm,"$680,000"
389 Bt Batok West Ave 5 S(650389),5-Room,118.0 sqm,"$680,000"
258C Compassvale Rd S(543258),5-Room,110.0 sqm,"$680,000"
144 Rivervale Dr S(540144),5-Room,116.0 sqm,"$680,000"
701 Woodlands Dr 40 S(730701),5-Room,119.0 sqm,"$680,000"
355 Tampines St 33 S(520355),5-Room,122.0 sqm,"$680,000"
410 Saujana Rd S(670410),5-Room,123.0 sqm,"$680,000"
775 Yishun Ring Rd S(760775),5-Room,121.0 sqm,"$680,000"
231 Yishun St 21 S(760231),5-Room,121.0 sqm,"$680,000"
90 Bedok Nth St 4 S(460090),5-Room,117.0 sqm,"$680,000"
18 Jln Tenteram S(321018),4-Room,85.0 sqm,"$685,000"
477B Upp Serangoon View S(532477),4-Room,92.0 sqm,"$688,000"
453C Fernvale Rd S(793453),4-Room,92.0 sqm,"$688,000"
441A Fernvale Rd S(791441),4-Room,94.0 sqm,"$688,000"
301B Punggol Ctrl S(822301),4-Room,93.0 sqm,"$688,000"
223 Serangoon Ave 4 S(550223),4-Room,92.0 sqm,"$688,000"
229 Compassvale Walk S(540229),5-Room,123.0 sqm,"$688,000"
7 Teck Whye Ave S(680007),5-Room,132.0 sqm,"$688,000"
53 Chai Chee St S(460053),5-Room,121.0 sqm,"$688,000"
473D Upp Serangoon Cres S(538473),4-Room,93.0 sqm,"$688,888"
264D Compassvale Bow S(544264),4-Room,92.0 sqm,"$688,888"
111 Ang Mo Kio Ave 4 S(560111),5-Room,117.0 sqm,"$688,888"
95B Henderson Rd S(152095),3-Room,68.0 sqm,"$690,000"
44 Moh Guan Ter S(161044),3-Room,60.0 sqm,"$690,000"
450B Bt Batok West Ave 6 S(652450),4-Room,93.0 sqm,"$690,000"
574B Woodlands Dr 16 S(732574),4-Room,93.0 sqm,"$690,000"
622C Punggol Ctrl S(823622),4-Room,94.0 sqm,"$690,000"
623B Punggol Ctrl S(822623),4-Room,94.0 sqm,"$690,000"
176 Lompang Rd S(670176),4-Room,101.0 sqm,"$690,000"
546 Hougang St 51 S(530546),4-Room,103.0 sqm,"$690,000"
166B Punggol Ctrl S(822166),5-Room,114.0 sqm,"$690,000"
260C Sengkang East Way S(543260),5-Room,110.0 sqm,"$690,000"
966 Hougang Ave 9 S(530966),5-Room,115.0 sqm,"$690,000"
169 Woodlands St 11 S(730169),5-Room,123.0 sqm,"$690,000"
492G Tampines St 45 S(527492),4-Room,92.0 sqm,"$695,000"
288A Compassvale Cres S(541288),4-Room,93.0 sqm,"$695,000"
166B Yung Kuang Rd S(612166),5-Room,113.0 sqm,"$695,000"
153 Gangsa Rd S(670153),5-Room,121.0 sqm,"$695,000"
832 Jurong West St 81 S(640832),5-Room,126.0 sqm,"$695,000"
636B Senja Rd S(672636),4-Room,92.0 sqm,"$696,299"
646 Punggol Ctrl S(820646),5-Room,110.0 sqm,"$698,000"
329 Tah Ching Rd S(610329),5-Room,121.0 sqm,"$698,000"
661C Edgedale Plains S(823661),4-Room,92.0 sqm,"$699,000"
258C Compassvale Rd S(543258),5-Room,110.0 sqm,"$699,000"
53 Geylang Bahru S(330053),5-Room,114.0 sqm,"$699,000"
494J Tampines St 45 S(529494),4-Room,92.0 sqm,"$699,800"
310A Punggol Walk S(821310),4-Room,92.0 sqm,"$699,888"
107D Edgefield Plains S(824107),5-Room,110.0 sqm,"$699,999"
322C Sumang Walk S(823322),4-Room,93.0 sqm,"$700,000"
494J Tampines St 45 S(529494),4-Room,92.0 sqm,"$700,000"
932B Hougang Ave 9 S(532932),4-Room,92.0 sqm,"$700,000"
614B Edgefield Plains S(822614),4-Room,92.0 sqm,"$700,000"
212B Compassvale Dr S(542212),4-Room,99.0 sqm,"$700,000"
202 Compassvale Dr S(540202),4-Room,85.0 sqm,"$700,000"
101 Simei St 1 S(520101),4-Room,104.0 sqm,"$700,000"
143 Potong Pasir Ave 2 S(350143),4-Room,104.0 sqm,"$700,000"
76 Marine Dr S(440076),4-Room,82.0 sqm,"$700,000"
74 Marine Dr S(440074),4-Room,82.0 sqm,"$700,000"
75 Marine Dr S(440075),4-Room,82.0 sqm,"$700,000"
63 Marine Dr S(440063),4-Room,87.0 sqm,"$700,000"
217A Boon Lay Ave S(641217),5-Room,121.0 sqm,"$700,000"
405B Fernvale Lane S(792405),5-Room,112.0 sqm,"$700,000"
176A Edgefield Plains S(821176),5-Room,111.0 sqm,"$700,000"
538 Woodlands Dr 16 S(730538),5-Room,120.0 sqm,"$700,000"
658 Choa Chu Kang Cres S(680658),5-Room,125.0 sqm,"$700,000"
916 Hougang Ave 9 S(530916),5-Room,120.0 sqm,"$700,000"
895A Woodlands Dr 50 S(730895),5-Room,117.0 sqm,"$700,000"
703 Choa Chu Kang St 53 S(680703),5-Room,121.0 sqm,"$700,000"
140 Pasir Ris St 11 S(510140),5-Room,127.0 sqm,"$700,000"
272 Yishun St 22 S(760272),5-Room,122.0 sqm,"$700,000"
559 Jurong West St 42 S(640559),5-Room,137.0 sqm,"$700,000"
552 Ang Mo Kio Ave 10 S(560552),5-Room,119.0 sqm,"$700,000"
450 Bt Panjang Ring Rd S(670450),5-Room,120.0 sqm,"$703,999"
334B Yishun St 31 S(762334),5-Room,112.0 sqm,"$705,000"
621 Senja Rd S(670621),5-Room,111.0 sqm,"$705,000"
457B Sengkang West Rd S(792457),4-Room,93.0 sqm,"$708,000"
140C Corporation Dr S(613140),4-Room,93.0 sqm,"$708,000"
665A Punggol Dr S(821665),4-Room,93.0 sqm,"$708,000"
272D Sengkang Ctrl S(544272),4-Room,90.0 sqm,"$708,000"
138 Pasir Ris St 11 S(510138),5-Room,126.0 sqm,"$708,000"
260 Bishan St 22 S(570260),4-Room,104.0 sqm,"$709,000"
862 Woodlands St 83 S(730862),5-Room,127.0 sqm,"$709,000"
323B Sumang Walk S(822323),4-Room,93.0 sqm,"$710,000"
289A Compassvale Cres S(541289),4-Room,93.0 sqm,"$710,000"
604A Punggol Rd S(821604),4-Room,93.0 sqm,"$710,000"
171B Edgedale Plains S(822171),5-Room,110.0 sqm,"$710,888"
530 Jelapang Rd S(670530),5-Room,121.0 sqm,"$712,000"
183C Rivervale Cres S(543183),5-Room,110.0 sqm,"$715,000"
354 Choa Chu Kang Ctrl S(680354),5-Room,126.0 sqm,"$715,000"
676B Punggol Dr S(822676),4-Room,93.0 sqm,"$715,088"
183 Bedok Nth Rd S(460183),4-Room,92.0 sqm,"$720,000"
17A Telok Blangah Cres S(091017),4-Room,100.0 sqm,"$720,000"
707 Tampines St 71 S(520707),4-Room,102.0 sqm,"$720,000"
228 Bishan St 23 S(570228),4-Room,105.0 sqm,"$720,000"
446A Bt Batok West Ave 8 S(651446),5-Room,112.0 sqm,"$720,000"
997B Buangkok Cres S(532997),5-Room,113.0 sqm,"$720,000"
336C Anchorvale Cres S(543336),5-Room,111.0 sqm,"$720,000"
432A Yishun Ave 1 S(761432),5-Room,112.0 sqm,"$720,000"
388 Bt Batok West Ave 5 S(650388),5-Room,118.0 sqm,"$720,000"
512 Hougang Ave 10 S(530512),5-Room,121.0 sqm,"$720,000"
1 Marsiling Dr S(730001),5-Room,151.0 sqm,"$720,000"
671A Jurong West St 65 S(641671),Executive,126.0 sqm,"$723,000"
314A Punggol Way S(821314),4-Room,93.0 sqm,"$725,000"
106 Towner Rd S(322106),4-Room,109.0 sqm,"$725,000"
296 Punggol Ctrl S(820296),5-Room,110.0 sqm,"$725,000"
267A Compassvale Link S(541267),4-Room,91.0 sqm,"$728,000"
405 Serangoon Ave 1 S(550405),4-Room,94.0 sqm,"$728,000"
203A Punggol Field S(821203),5-Room,110.0 sqm,"$728,000"
268C Punggol Field S(823268),4-Room,93.0 sqm,"$728,888"
451B Bt Batok West Ave 6 S(652451),5-Room,113.0 sqm,"$728,888"
473 Segar Rd S(670473),Executive,128.0 sqm,"$729,000"
29 Ghim Moh Link S(270029),3-Room,68.0 sqm,"$729,999"
185 Bishan St 13 S(570185),4-Room,85.0 sqm,"$729,999"
604A Tampines Ave 9 S(521604),4-Room,92.0 sqm,"$730,000"
602 Hougang Ave 4 S(530602),4-Room,104.0 sqm,"$730,000"
506A Yishun Ave 4 S(761506),5-Room,113.0 sqm,"$730,000"
288A Bt Batok St 25 S(650288),5-Room,122.0 sqm,"$730,000"
288G Bt Batok St 25 S(656288),5-Room,120.0 sqm,"$730,000"
130A Lor 1 Toa Payoh S(311130),3-Room,68.0 sqm,"$735,000"
289B Punggol Pl S(822289),4-Room,98.0 sqm,"$735,000"
201 Bt Batok St 21 S(650201),5-Room,133.0 sqm,"$736,888"
243 Serangoon Ave 2 S(550243),4-Room,89.0 sqm,"$738,000"
408B Fernvale Rd S(792408),5-Room,115.0 sqm,"$738,000"
277 Toh Guan Rd S(600277),5-Room,121.0 sqm,"$738,000"
892B Woodlands Dr 50 S(731892),5-Room,119.0 sqm,"$738,000"
121 Serangoon Nth Ave 1 S(550121),5-Room,121.0 sqm,"$738,000"
111 Jurong East St 13 S(600111),5-Room,120.0 sqm,"$738,000"
314 Serangoon Ave 2 S(550314),4-Room,93.0 sqm,"$740,000"
225 Pasir Ris St 21 S(510225),5-Room,126.0 sqm,"$740,000"
518 Jurong West St 52 S(640518),4-Room,106.0 sqm,"$744,444"
171B Edgedale Plains S(822171),5-Room,110.0 sqm,"$748,000"
507D Wellington Circle S(754507),Executive,130.0 sqm,"$748,000"
134 Jln Bt Merah S(160134),4-Room,105.0 sqm,"$748,888"
405B Fernvale Lane S(792405),5-Room,112.0 sqm,"$749,000"
26A St. George's Lane S(321026),3-Room,68.0 sqm,"$750,000"
263 Toa Payoh East S(310263),3-Room,68.0 sqm,"$750,000"
325A Sumang Walk S(821325),4-Room,93.0 sqm,"$750,000"
807B Chai Chee Rd S(462807),4-Room,93.0 sqm,"$750,000"
270B Punggol Field S(822270),4-Room,97.0 sqm,"$750,000"
290 Bishan St 24 S(570290),4-Room,102.0 sqm,"$750,000"
254 Bishan St 22 S(570254),4-Room,112.0 sqm,"$750,000"
145 Bishan St 11 S(570145),4-Room,102.0 sqm,"$750,000"
123 Bishan St 12 S(570123),4-Room,84.0 sqm,"$750,000"
138 Potong Pasir Ave 3 S(350138),4-Room,103.0 sqm,"$750,000"
34 Cassia Cres S(390034),4-Room,93.0 sqm,"$750,000"
121D Canberra St S(754121),5-Room,113.0 sqm,"$750,000"
171B Edgedale Plains S(822171),5-Room,110.0 sqm,"$750,000"
541 Woodlands Dr 16 S(730541),5-Room,121.0 sqm,"$750,000"
486A Tampines Ave 9 S(520486),5-Room,128.0 sqm,"$750,000"
130 Simei St 1 S(520130),5-Room,122.0 sqm,"$750,000"
61 New Upp Changi Rd S(461061),5-Room,118.0 sqm,"$750,000"
139 Jln Bt Merah S(160139),4-Room,109.0 sqm,"$758,000"
196 Bishan St 13 S(570196),4-Room,84.0 sqm,"$759,000"
191 Bt Batok West Ave 6 S(650191),5-Room,120.0 sqm,"$759,000"
82B Circuit Rd S(372082),3-Room,68.0 sqm,"$760,000"
42 Kim Cheng St S(161042),3-Room,88.0 sqm,"$760,000"
296A Bt Batok St 22 S(651296),4-Room,92.0 sqm,"$760,000"
264D Compassvale Bow S(544264),4-Room,92.0 sqm,"$760,000"
88 Telok Blangah Hts S(100088),4-Room,85.0 sqm,"$760,000"
352 Ang Mo Kio St 32 S(560352),4-Room,95.0 sqm,"$760,000"
259 Kim Keat Ave S(310259),4-Room,104.0 sqm,"$760,000"
614 Elias Rd S(510614),5-Room,134.0 sqm,"$760,000"
354 Bt Batok St 31 S(650354),Executive,140.0 sqm,"$760,000"
164C Rivervale Cres S(543164),5-Room,113.0 sqm,"$763,000"
859 Jurong West St 81 S(640859),Executive,142.0 sqm,"$767,000"
268C Punggol Field S(823268),4-Room,97.0 sqm,"$768,000"
114 Bishan St 12 S(570114),4-Room,84.0 sqm,"$768,000"
440D Bt Batok West Ave 8 S(654440),5-Room,112.0 sqm,"$768,000"
122 Pasir Ris St 11 S(510122),5-Room,132.0 sqm,"$769,000"
271A Punggol Walk S(821271),4-Room,93.0 sqm,"$770,000"
997C Buangkok Cres S(534997),5-Room,113.0 sqm,"$770,000"
628 Jurong West St 65 S(640628),Executive,130.0 sqm,"$770,000"
656B Jurong West St 61 S(642656),Executive,133.0 sqm,"$770,000"
589 Woodlands Dr 16 S(730589),Executive,131.0 sqm,"$775,000"
263 Toa Payoh East S(310263),3-Room,68.0 sqm,"$777,000"
632 Choa Chu Kang Nth 6 S(680632),5-Room,127.0 sqm,"$777,000"
292B Bt Batok East Ave 6 S(652292),4-Room,93.0 sqm,"$780,000"
14B Lor 7 Toa Payoh S(312014),4-Room,104.0 sqm,"$780,000"
16 Toh Yi Dr S(590016),4-Room,104.0 sqm,"$780,000"
7 Tg Pagar Plaza S(081007),4-Room,83.0 sqm,"$780,000"
513B Yishun St 51 S(762513),5-Room,113.0 sqm,"$780,000"
121B Canberra St S(752121),5-Room,113.0 sqm,"$780,000"
212A Compassvale Dr S(541212),5-Room,118.0 sqm,"$780,000"
167 Hougang Ave 1 S(530167),5-Room,123.0 sqm,"$780,000"
485A Tampines Ave 9 S(520485),5-Room,125.0 sqm,"$780,000"
872 Yishun St 81 S(760872),5-Room,122.0 sqm,"$780,000"
101 Ang Mo Kio Ave 3 S(560101),5-Room,117.0 sqm,"$780,000"
117A Rivervale Dr S(541117),Executive,130.0 sqm,"$780,000"
122C Sengkang East Way S(543122),Executive,131.0 sqm,"$780,000"
841 Jurong West St 81 S(640841),Executive,147.0 sqm,"$780,000"
175A Yung Kuang Rd S(611175),5-Room,113.0 sqm,"$785,000"
264E Compassvale Bow S(548264),4-Room,92.0 sqm,"$788,000"
650 Jln Tenaga S(410650),4-Room,108.0 sqm,"$788,000"
238 Lor 1 Toa Payoh S(310238),4-Room,103.0 sqm,"$788,000"
726 Tampines St 71 S(520726),5-Room,120.0 sqm,"$788,000"
710 Bedok Reservoir Rd S(470710),5-Room,125.0 sqm,"$788,000"
31 Bedok Sth Ave 2 S(460031),5-Room,118.0 sqm,"$788,000"
666B Jurong West St 65 S(642666),Executive,130.0 sqm,"$788,000"
83A Circuit Rd S(371083),3-Room,68.0 sqm,"$788,888"
56 Strathmore Ave S(140056),4-Room,85.0 sqm,"$788,888"
158 Yung Loh Rd S(610158),5-Room,126.0 sqm,"$788,888"
140 Jln Bt Merah S(160140),5-Room,119.0 sqm,"$788,888"
461C Bt Batok West Ave 8 S(653461),5-Room,114.0 sqm,"$790,000"
286B Compassvale Cres S(542286),5-Room,113.0 sqm,"$790,000"
416C Fernvale Link S(793416),5-Room,113.0 sqm,"$790,000"
326B Anchorvale Rd S(542326),5-Room,112.0 sqm,"$790,000"
386 Bt Batok West Ave 5 S(650386),5-Room,118.0 sqm,"$790,000"
246 Pasir Ris St 21 S(510246),Executive,147.0 sqm,"$790,000"
282C Sengkang East Ave S(543282),4-Room,92.0 sqm,"$795,000"
936 Hougang St 92 S(530936),5-Room,121.0 sqm,"$795,000"
232 Tampines St 21 S(521232),5-Room,123.0 sqm,"$795,000"
762 Bedok Reservoir View S(470762),4-Room,105.0 sqm,"$798,000"
684C Edgedale Plains S(823684),5-Room,113.0 sqm,"$798,000"
521 Ang Mo Kio Ave 5 S(560521),5-Room,118.0 sqm,"$798,000"
163 Yung Ping Rd S(610163),Executive,143.0 sqm,"$798,000"
36 Moh Guan Ter S(161036),3-Room,88.0 sqm,"$799,000"
107 Gangsa Rd S(670107),Executive,144.0 sqm,"$799,000"
676B Yishun Ring Rd S(762676),5-Room,120.0 sqm,"$799,999"
113B Mcnair Rd S(323113),3-Room,68.0 sqm,"$800,000"
473C Upp Serangoon Cres S(533473),4-Room,93.0 sqm,"$800,000"
890B Tampines Ave 1 S(522890),4-Room,93.0 sqm,"$800,000"
348A Yishun Ave 11 S(761348),4-Room,92.0 sqm,"$800,000"
408A Fernvale Rd S(791408),4-Room,95.0 sqm,"$800,000"
10 Lor 7 Toa Payoh S(310010),4-Room,104.0 sqm,"$800,000"
38 Jln Rumah Tinggi S(150038),4-Room,99.0 sqm,"$800,000"
454 Sin Ming Ave S(570454),4-Room,105.0 sqm,"$800,000"
107 Potong Pasir Ave 1 S(350107),4-Room,104.0 sqm,"$800,000"
672B Klang Lane S(212672),5-Room,105.0 sqm,"$800,000"
323 Yishun Ctrl S(760323),5-Room,122.0 sqm,"$800,000"
359A Admiralty Dr S(751359),Executive,131.0 sqm,"$800,000"
724 Yishun St 71 S(760724),Executive,146.0 sqm,"$800,000"
323 Jurong East St 31 S(600323),Executive,149.0 sqm,"$800,000"
407 Jurong West St 42 S(640407),Executive,150.0 sqm,"$800,000"
548 Jurong West St 42 S(640548),Executive,150.0 sqm,"$800,000"
664B Punggol Dr S(822664),5-Room,110.0 sqm,"$805,000"
156 Hougang St 11 S(530156),5-Room,123.0 sqm,"$807,288"
82 Lor 4 Toa Payoh S(310082),4-Room,104.0 sqm,"$808,000"
956 Hougang St 91 S(530956),5-Room,115.0 sqm,"$808,000"
423 Canberra Rd S(750423),Executive,130.0 sqm,"$808,000"
392 Yishun Ave 6 S(760392),Executive,142.0 sqm,"$808,000"
548 Jurong West St 42 S(640548),Executive,148.0 sqm,"$808,000"
277B Compassvale Link S(542277),4-Room,90.0 sqm,"$808,888"
393 Tampines Ave 7 S(520393),5-Room,127.0 sqm,"$810,000"
117 Bt Batok West Ave 6 S(650117),5-Room,132.0 sqm,"$810,000"
836 Hougang Ctrl S(530836),4-Room,100.0 sqm,"$812,000"
138 Bishan St 12 S(570138),5-Room,119.0 sqm,"$815,000"
10B Bendemeer Rd S(332010),3-Room,68.0 sqm,"$818,000"
266D Punggol Way S(824266),5-Room,111.0 sqm,"$818,000"
513 Woodlands Dr 14 S(730513),5-Room,125.0 sqm,"$818,000"
706 Tampines St 71 S(520706),5-Room,120.0 sqm,"$818,000"
17 Dover Cres S(130017),4-Room,92.0 sqm,"$820,000"
401 Serangoon Ave 1 S(550401),4-Room,103.0 sqm,"$820,000"
191 Bishan St 13 S(570191),4-Room,83.0 sqm,"$820,000"
684C Edgedale Plains S(823684),5-Room,113.0 sqm,"$820,000"
122B Edgedale Plains S(822122),5-Room,112.0 sqm,"$820,000"
662C Edgedale Plains S(823662),5-Room,112.0 sqm,"$820,000"
222 Ang Mo Kio Ave 1 S(560222),5-Room,126.0 sqm,"$820,000"
835 Hougang Ctrl S(530835),5-Room,122.0 sqm,"$820,000"
337 Clementi Ave 2 S(120337),5-Room,119.0 sqm,"$820,000"
33 Chai Chee Ave S(461033),5-Room,117.0 sqm,"$820,000"
650 Senja Link S(670650),Executive,130.0 sqm,"$820,000"
682A Jurong West Ctrl 1 S(641682),Executive,134.0 sqm,"$820,000"
665B Jurong West St 64 S(642665),Executive,130.0 sqm,"$820,000"
189C Rivervale Dr S(543189),Executive,131.0 sqm,"$820,000"
804 Woodlands St 81 S(730804),Executive,146.0 sqm,"$820,000"
469B Sengkang West Way S(792469),5-Room,113.0 sqm,"$825,000"
290C Bt Batok East Ave 3 S(650290),Executive,142.0 sqm,"$825,000"
807C Chai Chee Rd S(463807),4-Room,93.0 sqm,"$828,000"
807A Chai Chee Rd S(461807),4-Room,93.0 sqm,"$828,000"
197D Boon Lay Dr S(644197),5-Room,113.0 sqm,"$828,000"
146 Rivervale Dr S(540146),5-Room,116.0 sqm,"$828,000"
15 Eunos Cres S(400015),5-Room,117.0 sqm,"$828,000"
217A Compassvale Dr S(541217),4-Room,92.0 sqm,"$830,000"
528C Pasir Ris St 51 S(513528),4-Room,93.0 sqm,"$830,000"
144 Lor 2 Toa Payoh S(310144),4-Room,90.0 sqm,"$830,000"
239 Serangoon Ave 2 S(550239),4-Room,105.0 sqm,"$830,000"
