Address,flat_type,floor_area_list,resale_price_list
206 Pasir Ris St 21 S(510206),Executive,148.0 sqm,"$830,000"
804 Woodlands St 81 S(730804),Executive,149.0 sqm,"$830,000"
542 Bt Batok St 52 S(650542),Executive,146.0 sqm,"$835,000"
183B Woodlands St 13 S(732183),5-Room,120.0 sqm,"$838,000"
310 Yishun Ring Rd S(760310),5-Room,123.0 sqm,"$838,000"
409 Serangoon Ctrl S(550409),4-Room,94.0 sqm,"$838,998"
181 Jelebu Rd S(670181),4-Room,94.0 sqm,"$840,000"
316A Anchorvale Link S(541316),Executive,125.0 sqm,"$848,000"
162 Yung Ping Rd S(610162),Executive,148.0 sqm,"$849,000"
82A Circuit Rd S(371082),3-Room,68.0 sqm,"$849,888"
91 Dawson Rd S(144091),3-Room,65.0 sqm,"$850,000"
188A Bedok Nth St 4 S(461188),4-Room,93.0 sqm,"$850,000"
348A Yishun Ave 11 S(761348),4-Room,92.0 sqm,"$850,000"
56 Strathmore Ave S(140056),4-Room,95.0 sqm,"$850,000"
60 Strathmore Ave S(141060),4-Room,85.0 sqm,"$850,000"
334 Kreta Ayer Rd S(080334),4-Room,83.0 sqm,"$850,000"
293A Bt Batok St 21 S(651293),5-Room,113.0 sqm,"$850,000"
513A Yishun St 51 S(761513),5-Room,120.0 sqm,"$850,000"
470B Upp Serangoon Cres S(532470),5-Room,113.0 sqm,"$850,000"
115 Ho Ching Rd S(610115),Executive,140.0 sqm,"$850,000"
497F Tampines St 45 S(524497),Executive,138.0 sqm,"$850,000"
235 Pasir Ris St 21 S(510235),Executive,146.0 sqm,"$850,000"
404 Bt Batok West Ave 7 S(650404),Executive,148.0 sqm,"$850,000"
93 Dawson Rd S(142093),3-Room,65.0 sqm,"$860,000"
117 Clementi St 13 S(120117),4-Room,108.0 sqm,"$860,000"
323B Sumang Walk S(822323),5-Room,113.0 sqm,"$860,000"
102 Bt Batok West Ave 6 S(650102),5-Room,150.0 sqm,"$860,000"
650 Woodlands Ring Rd S(730650),Executive,144.0 sqm,"$860,000"
180 Bedok Nth Rd S(460180),5-Room,110.0 sqm,"$864,444"
974 Hougang St 91 S(530974),Executive,137.0 sqm,"$865,000"
39 Jln Bahagia S(320039),3-Room,0.0 sqm,"$868,000"
273A Compassvale Link S(541273),4-Room,90.0 sqm,"$868,000"
108C Mcnair Rd S(324108),4-Room,86.0 sqm,"$868,000"
147 Rivervale Cres S(540147),Executive,140.0 sqm,"$868,000"
942 Hougang St 92 S(530942),5-Room,120.0 sqm,"$868,888"
338D Anchorvale Cres S(544338),5-Room,113.0 sqm,"$870,000"
667B Punggol Dr S(822667),5-Room,113.0 sqm,"$870,000"
102 Jln Dusun S(320102),5-Room,118.0 sqm,"$870,000"
56 Strathmore Ave S(140056),4-Room,85.0 sqm,"$875,000"
152 Lor 2 Toa Payoh S(310152),4-Room,91.0 sqm,"$876,000"
804 Woodlands St 81 S(730804),Executive,149.0 sqm,"$878,000"
10A Bendemeer Rd S(331010),3-Room,68.0 sqm,"$879,999"
264 Toa Payoh East S(310264),4-Room,93.0 sqm,"$880,000"
18B Circuit Rd S(372018),4-Room,93.0 sqm,"$880,000"
28 Cassia Cres S(391028),4-Room,102.0 sqm,"$880,000"
461B Bt Batok West Ave 8 S(652461),5-Room,121.0 sqm,"$880,000"
292B Bt Batok East Ave 6 S(652292),5-Room,113.0 sqm,"$880,000"
997B Buangkok Cres S(532997),5-Room,113.0 sqm,"$880,000"
530A Pasir Ris Dr 1 S(511530),5-Room,105.0 sqm,"$880,000"
168D Simei Lane S(524168),5-Room,107.0 sqm,"$880,000"
39 Telok Blangah Rise S(090039),5-Room,117.0 sqm,"$880,000"
637 Choa Chu Kang Nth 6 S(680637),Executive,142.0 sqm,"$880,000"
208 Pasir Ris St 21 S(510208),Executive,148.0 sqm,"$880,000"
456 Pasir Ris Dr 4 S(510456),Executive,146.0 sqm,"$880,000"
214 Choa Chu Kang Ctrl S(680214),Executive,146.0 sqm,"$880,000"
350A Yishun Ave 11 S(761350),Executive,154.0 sqm,"$880,000"
426 Tampines St 41 S(520426),Executive,143.0 sqm,"$880,000"
124 Tampines St 11 S(521124),Executive,146.0 sqm,"$880,888"
26A St. George's Lane S(321026),3-Room,68.0 sqm,"$888,000"
25A St. George's Lane S(321025),3-Room,68.0 sqm,"$888,000"
8A Upp Boon Keng Rd S(381008),3-Room,70.0 sqm,"$888,000"
273A Compassvale Link S(541273),4-Room,90.0 sqm,"$888,000"
49 Strathmore Ave S(140049),4-Room,90.0 sqm,"$888,000"
13 Cantonment Cl S(080013),4-Room,75.0 sqm,"$888,000"
233 Bain St S(180233),4-Room,82.0 sqm,"$888,000"
72 Marine Dr S(440072),5-Room,120.0 sqm,"$888,000"
143 Rivervale Dr S(540143),Executive,135.0 sqm,"$888,000"
29 Balam Rd S(370029),4-Room,106.0 sqm,"$888,888"
102 Rivervale Walk S(540102),Executive,140.0 sqm,"$888,888"
51 Sims Dr S(380051),5-Room,114.0 sqm,"$888,999"
59 Strathmore Ave S(142059),4-Room,96.0 sqm,"$890,000"
176 Lompang Rd S(670176),5-Room,121.0 sqm,"$890,000"
110 Aljunied Cres S(380110),5-Room,121.0 sqm,"$890,000"
27 Dover Cres S(130027),5-Room,123.0 sqm,"$890,000"
650 Senja Link S(670650),Executive,130.0 sqm,"$890,000"
308 Canberra Rd S(750308),Executive,141.0 sqm,"$890,000"
142 Bt Batok St 11 S(650142),Executive,155.0 sqm,"$890,000"
31 Eunos Cres S(400031),4-Room,90.0 sqm,"$898,000"
164 Bishan St 13 S(570164),5-Room,121.0 sqm,"$898,000"
429 Tampines St 41 S(520429),Executive,148.0 sqm,"$898,000"
470B Upp Serangoon Cres S(532470),5-Room,112.0 sqm,"$899,000"
144 Petir Rd S(670144),Executive,146.0 sqm,"$899,000"
38B Bendemeer Rd S(332038),4-Room,89.0 sqm,"$899,888"
685A Jurong West St 64 S(641685),Executive,132.0 sqm,"$899,999"
115 Ho Ching Rd S(610115),Executive,140.0 sqm,"$899,999"
125 Bt Batok Ctrl S(650125),Executive,150.0 sqm,"$899,999"
262 Toa Payoh East S(310262),4-Room,93.0 sqm,"$900,000"
116A Jln Tenteram S(321116),4-Room,93.0 sqm,"$900,000"
146 Lor 2 Toa Payoh S(310146),4-Room,92.0 sqm,"$900,000"
47 Jln Tiga S(390047),4-Room,93.0 sqm,"$900,000"
605A Tampines St 61 S(521605),5-Room,112.0 sqm,"$900,000"
452A Bt Batok West Ave 6 S(651452),5-Room,115.0 sqm,"$900,000"
452A Bt Batok West Ave 6 S(651452),5-Room,113.0 sqm,"$900,000"
112B Depot Rd S(102112),5-Room,116.0 sqm,"$900,000"
466 Hougang Ave 8 S(530466),5-Room,125.0 sqm,"$900,000"
422 Serangoon Ctrl S(550422),5-Room,121.0 sqm,"$900,000"
124 Simei St 1 S(520124),5-Room,123.0 sqm,"$900,000"
84 Bedok Nth St 4 S(460084),5-Room,134.0 sqm,"$900,000"
133 Marsiling Rise S(730133),Executive,170.0 sqm,"$900,000"
109 Teck Whye Lane S(680109),Executive,146.0 sqm,"$900,000"
273 Bangkit Rd S(670273),Executive,146.0 sqm,"$900,000"
124 Tampines St 11 S(521124),Executive,146.0 sqm,"$900,000"
143 Rivervale Dr S(540143),Executive,140.0 sqm,"$908,000"
129 Pending Rd S(670129),Executive,151.0 sqm,"$908,000"
164 Gangsa Rd S(670164),5-Room,120.0 sqm,"$908,888"
650 Pasir Ris Dr 10 S(510650),Executive,149.0 sqm,"$908,888"
555 Choa Chu Kang Nth 6 S(680555),Executive,146.0 sqm,"$910,000"
588B Ang Mo Kio St 52 S(562588),4-Room,90.0 sqm,"$915,000"
12 Dover Cl East S(130012),5-Room,117.0 sqm,"$918,000"
78 Lor Limau S(320078),4-Room,93.0 sqm,"$920,000"
80A Telok Blangah St 31 S(101080),4-Room,95.0 sqm,"$920,000"
316B Punggol Way S(822316),5-Room,113.0 sqm,"$920,000"
153 Bishan St 13 S(570153),5-Room,121.0 sqm,"$920,000"
560 Hougang St 51 S(530560),Executive,143.0 sqm,"$920,000"
476C Upp Serangoon View S(533476),5-Room,115.0 sqm,"$925,000"
26C Jln Membina S(166026),4-Room,85.0 sqm,"$928,000"
16 Toh Yi Dr S(590016),4-Room,104.0 sqm,"$928,000"
208 Choa Chu Kang Ctrl S(680208),Executive,146.0 sqm,"$928,000"
290C Bt Batok East Ave 3 S(650290),Executive,142.0 sqm,"$928,666"
605A Tampines St 61 S(521605),5-Room,112.0 sqm,"$930,000"
111B Depot Rd S(102111),5-Room,116.0 sqm,"$930,000"
26 Chai Chee Rd S(460026),5-Room,133.0 sqm,"$930,000"
13 Dover Cl East S(130013),5-Room,117.0 sqm,"$930,000"
21 Joo Seng Rd S(360021),Executive,146.0 sqm,"$930,000"
230 Hougang Ave 1 S(530230),5-Room,140.0 sqm,"$931,499"
406 Bedok Nth Ave 3 S(460406),5-Room,118.0 sqm,"$938,000"
422 Pasir Ris Dr 6 S(510422),Executive,145.0 sqm,"$938,000"
719 Bedok Reservoir Rd S(470719),Executive,143.0 sqm,"$938,888"
605C Tampines St 61 S(523605),5-Room,112.0 sqm,"$940,000"
104 Spottiswoode Pk Rd S(080104),5-Room,121.0 sqm,"$940,000"
804 Woodlands St 81 S(730804),Executive,152.0 sqm,"$940,000"
470 Jurong West St 41 S(640470),Executive,151.0 sqm,"$940,000"
48 Strathmore Ave S(140048),4-Room,90.0 sqm,"$948,000"
82B Circuit Rd S(372082),4-Room,93.0 sqm,"$950,000"
39A Bendemeer Rd S(331039),4-Room,92.0 sqm,"$950,000"
75A Redhill Rd S(151075),4-Room,100.0 sqm,"$950,000"
3A Holland Cl S(272003),4-Room,106.0 sqm,"$950,000"
285 Bishan St 22 S(570285),4-Room,108.0 sqm,"$950,000"
7 Tg Pagar Plaza S(081007),4-Room,83.0 sqm,"$950,000"
520B Tampines Ctrl 8 S(522520),5-Room,108.0 sqm,"$950,000"
73A Redhill Rd S(151073),5-Room,115.0 sqm,"$950,000"
44 Lor 5 Toa Payoh S(310044),5-Room,121.0 sqm,"$950,000"
449 Sin Ming Ave S(570449),5-Room,123.0 sqm,"$950,000"
153 Bishan St 13 S(570153),5-Room,121.0 sqm,"$950,000"
238 Hougang Ave 1 S(530238),5-Room,138.0 sqm,"$950,000"
336 Clementi Ave 2 S(120336),5-Room,119.0 sqm,"$950,000"
115 Bt Merah Ctrl S(150115),5-Room,117.0 sqm,"$950,000"
360 Woodlands Ave 5 S(730360),Executive,143.0 sqm,"$950,000"
497A Tampines St 45 S(520497),Executive,144.0 sqm,"$950,000"
712 Pasir Ris St 72 S(510712),Executive,146.0 sqm,"$950,000"
495F Tampines St 43 S(525495),Executive,146.0 sqm,"$950,000"
495E Tampines St 43 S(524495),Executive,147.0 sqm,"$950,000"
350 Choa Chu Kang Ctrl S(680350),Executive,146.0 sqm,"$950,000"
459 Pasir Ris Dr 4 S(510459),Executive,142.0 sqm,"$950,000"
239 Bt Panjang Ring Rd S(670239),Executive,146.0 sqm,"$950,000"
804 Woodlands St 81 S(730804),Executive,146.0 sqm,"$950,000"
512 Bt Batok St 52 S(650512),Executive,147.0 sqm,"$950,000"
615 Hougang Ave 8 S(530615),Executive,147.0 sqm,"$950,000"
430 Tampines St 41 S(520430),Executive,143.0 sqm,"$950,000"
425 Clementi Ave 1 S(120425),4-Room,100.0 sqm,"$958,888"
90B Telok Blangah St 31 S(102090),4-Room,93.0 sqm,"$960,000"
47 Jln Tiga S(390047),5-Room,110.0 sqm,"$960,000"
621 Bt Batok Ctrl S(650621),5-Room,113.0 sqm,"$960,000"
463 Hougang Ave 10 S(530463),5-Room,122.0 sqm,"$965,000"
606D Tampines St 61 S(524606),5-Room,112.0 sqm,"$968,000"
605 Senja Rd S(670605),5-Room,121.0 sqm,"$968,000"
37 Cambridge Rd S(210037),5-Room,120.0 sqm,"$968,000"
106 Spottiswoode Pk Rd S(080106),5-Room,129.0 sqm,"$968,000"
8 Ghim Moh Rd S(270008),5-Room,117.0 sqm,"$968,000"
86 Dawson Rd S(141086),4-Room,83.0 sqm,"$980,000"
89 Tanglin Halt Rd S(141089),4-Room,90.0 sqm,"$980,000"
20 Jln Membina S(164020),4-Room,90.0 sqm,"$980,000"
606B Tampines St 61 S(522606),5-Room,112.0 sqm,"$980,000"
216C Compassvale Dr S(543216),5-Room,112.0 sqm,"$980,000"
216B Compassvale Dr S(542216),5-Room,112.0 sqm,"$980,000"
475A Upp Serangoon Cres S(531475),5-Room,112.0 sqm,"$980,000"
515B Tampines Ctrl 7 S(522515),5-Room,114.0 sqm,"$980,000"
172 Lor 1 Toa Payoh S(310172),5-Room,124.0 sqm,"$980,000"
463 Pasir Ris St 41 S(510463),Executive,146.0 sqm,"$980,000"
420 Pasir Ris Dr 6 S(510420),Executive,146.0 sqm,"$980,000"
804 Woodlands St 81 S(730804),Executive,146.0 sqm,"$980,000"
245 Tampines St 21 S(521245),Executive,150.0 sqm,"$980,000"
475C Upp Serangoon Cres S(533475),5-Room,109.0 sqm,"$988,000"
60 Geylang Bahru S(330060),5-Room,120.0 sqm,"$988,000"
226C Compassvale Walk S(543226),Executive,135.0 sqm,"$988,000"
606D Tampines St 61 S(524606),5-Room,119.0 sqm,"$988,888"
2A Upp Boon Keng Rd S(381002),5-Room,110.0 sqm,"$988,888"
20 Holland Dr S(271020),5-Room,117.0 sqm,"$988,888"
856F Tampines St 82 S(526856),Executive,143.0 sqm,"$988,888"
644 Bedok Reservoir Rd S(410644),Executive,142.0 sqm,"$988,888"
278A Compassvale Bow S(541278),5-Room,113.0 sqm,"$989,000"
82A Circuit Rd S(371082),4-Room,93.0 sqm,"$990,000"
93B Telok Blangah St 31 S(102093),4-Room,93.0 sqm,"$990,000"
187B Bedok Nth St 4 S(462187),5-Room,113.0 sqm,"$993,000"
310 Shunfu Rd S(570310),5-Room,121.0 sqm,"$995,000"
57 Havelock Rd S(161057),4-Room,94.0 sqm,"$996,888"
128 Simei St 1 S(520128),Executive,145.0 sqm,"$998,000"
221 Bt Batok East Ave 3 S(650221),Executive,141.0 sqm,"$998,000"
79A Toa Payoh Ctrl S(311079),4-Room,91.0 sqm,"$999,000"
1 Everton Pk S(081001),5-Room,138.0 sqm,"$999,000"
1 Queen's Rd S(260001),5-Room,125.0 sqm,"$999,000"
261 Toa Payoh East S(310261),4-Room,93.0 sqm,"$999,999"
62B Strathmore Ave S(143062),4-Room,93.0 sqm,"$999,999"
20 Holland Dr S(271020),5-Room,117.0 sqm,"$999,999"
325 Tampines St 32 S(520325),Executive,146.0 sqm,"$999,999"
537 Pasir Ris St 51 S(510537),Executive,141.0 sqm,"$999,999"
105A Bidadari Pk Dr S(341105),4-Room,94.0 sqm,"$1,000,000"
275A Bishan St 24 S(571275),4-Room,95.0 sqm,"$1,000,000"
6B Boon Tiong Rd S(165006),4-Room,100.0 sqm,"$1,000,000"
175 Lompang Rd S(670175),5-Room,121.0 sqm,"$1,000,000"
355 Tampines St 33 S(520355),5-Room,129.0 sqm,"$1,000,000"
167 Bishan St 13 S(570167),5-Room,122.0 sqm,"$1,000,000"
183 Jelebu Rd S(670183),Executive,124.0 sqm,"$1,000,000"
652 Senja Link S(670652),Executive,130.0 sqm,"$1,000,000"
253 Bangkit Rd S(670253),Executive,146.0 sqm,"$1,000,000"
356 Yishun Ring Rd S(760356),Executive,142.0 sqm,"$1,000,000"
160 Bedok Sth Ave 3 S(460160),Executive,152.0 sqm,"$1,000,000"
92B Telok Blangah St 31 S(102092),4-Room,93.0 sqm,"$1,008,000"
577 Hougang Ave 4 S(530577),Executive,139.0 sqm,"$1,008,888"
628 Hougang Ave 8 S(530628),Executive,144.0 sqm,"$1,012,000"
83A Circuit Rd S(371083),4-Room,96.0 sqm,"$1,018,888"
79A Toa Payoh Ctrl S(311079),4-Room,91.0 sqm,"$1,018,888"
264 Toa Payoh East S(310264),4-Room,93.0 sqm,"$1,020,000"
287C Jurong East St 21 S(603287),Executive,143.0 sqm,"$1,020,000"
61A Strathmore Ave S(142061),4-Room,96.0 sqm,"$1,030,000"
26B St. George's Lane S(322026),4-Room,92.0 sqm,"$1,035,000"
721 Bedok Reservoir Rd S(470721),Executive,144.0 sqm,"$1,038,000"
93B Telok Blangah St 31 S(102093),4-Room,93.0 sqm,"$1,050,000"
498M Tampines St 45 S(529498),Executive,147.0 sqm,"$1,050,000"
411 Woodlands St 41 S(730411),Executive,176.0 sqm,"$1,050,000"
448 Pasir Ris Dr 6 S(510448),Executive,154.0 sqm,"$1,050,000"
156 Tampines St 12 S(521156),Executive,151.0 sqm,"$1,050,000"
627 Bt Batok Ctrl S(650627),Executive,140.0 sqm,"$1,050,888"
206 Clementi Ave 6 S(120206),Executive,150.0 sqm,"$1,055,000"
113D Mcnair Rd S(325113),4-Room,93.0 sqm,"$1,058,000"
26A St. George's Lane S(321026),4-Room,92.0 sqm,"$1,065,000"
895 Tampines St 81 S(520895),Executive,146.0 sqm,"$1,069,000"
520B Tampines Ctrl 8 S(522520),5-Room,108.0 sqm,"$1,077,888"
440A Clementi Ave 3 S(121440),4-Room,87.0 sqm,"$1,080,000"
24 Beo Cres S(160024),4-Room,136.0 sqm,"$1,080,000"
407 Hougang Ave 10 S(530407),Executive,148.0 sqm,"$1,080,000"
141 Lor Ah Soo S(530141),Executive,148.0 sqm,"$1,080,000"
604B Tampines Ave 9 S(522604),5-Room,119.0 sqm,"$1,088,000"
27 Dover Cres S(130027),5-Room,123.0 sqm,"$1,088,888"
277 Yishun St 22 S(760277),Executive,152.0 sqm,"$1,088,888"
146 Tampines Ave 5 S(521146),Executive,150.0 sqm,"$1,088,888"
6 Boon Keng Rd S(330006),4-Room,106.0 sqm,"$1,090,000"
173 Bishan St 13 S(570173),5-Room,121.0 sqm,"$1,090,000"
138B Lor 1A Toa Payoh S(312138),4-Room,91.0 sqm,"$1,099,000"
807 Woodlands St 81 S(730807),Executive,189.0 sqm,"$1,099,000"
30 Ghim Moh Link S(272030),4-Room,93.0 sqm,"$1,100,000"
31 Ghim Moh Link S(271031),4-Room,93.0 sqm,"$1,100,000"
56 Havelock Rd S(161056),4-Room,94.0 sqm,"$1,100,000"
79D Toa Payoh Ctrl S(314079),4-Room,90.0 sqm,"$1,100,000"
12 Cantonment Cl S(080012),4-Room,90.0 sqm,"$1,100,000"
25B Jln Membina S(164025),5-Room,110.0 sqm,"$1,100,000"
639 Rowell Rd S(200639),5-Room,139.0 sqm,"$1,100,000"
663 Jln Damai S(410663),Executive,142.0 sqm,"$1,100,000"
604 Choa Chu Kang St 62 S(680604),Executive,147.0 sqm,"$1,100,000"
603 Elias Rd S(510603),Executive,151.0 sqm,"$1,100,000"
405 Bt Batok West Ave 7 S(650405),Executive,145.0 sqm,"$1,100,000"
537 Serangoon Nth Ave 4 S(550537),Executive,147.0 sqm,"$1,100,000"
254 Kim Keat Ave S(310254),Executive,146.0 sqm,"$1,100,000"
426 Tampines St 41 S(520426),Executive,148.0 sqm,"$1,100,000"
115 Clementi St 13 S(120115),Executive,146.0 sqm,"$1,100,000"
821 Woodlands St 82 S(730821),Executive,177.0 sqm,"$1,102,000"
644 Bedok Reservoir Rd S(410644),Executive,142.0 sqm,"$1,110,000"
113A Mcnair Rd S(322113),4-Room,93.0 sqm,"$1,115,000"
454 Tampines St 42 S(520454),Multi-Generation,150.0 sqm,"$1,125,000"
591A Ang Mo Kio St 51 S(561591),4-Room,93.0 sqm,"$1,138,000"
7 Boon Keng Rd S(330007),5-Room,113.0 sqm,"$1,140,000"
106B Bidadari Pk Dr S(342106),4-Room,94.0 sqm,"$1,150,000"
25A St. George's Lane S(321025),4-Room,92.0 sqm,"$1,150,000"
113A Mcnair Rd S(322113),4-Room,93.0 sqm,"$1,150,000"
88 Dawson Rd S(142088),4-Room,83.0 sqm,"$1,150,000"
81B Lor 4 Toa Payoh S(312081),5-Room,122.0 sqm,"$1,150,000"
4B St. George's Lane S(321004),5-Room,124.0 sqm,"$1,150,000"
578 Hougang Ave 4 S(530578),Executive,140.0 sqm,"$1,150,000"
411 Woodlands St 41 S(730411),Executive,177.0 sqm,"$1,150,000"
151 Tampines St 12 S(521151),Executive,142.0 sqm,"$1,150,000"
816 Jellicoe Rd S(200816),5-Room,110.0 sqm,"$1,168,888"
113B Mcnair Rd S(323113),4-Room,93.0 sqm,"$1,180,000"
86 Dawson Rd S(141086),4-Room,83.0 sqm,"$1,180,000"
9 Boon Keng Rd S(330009),4-Room,95.0 sqm,"$1,180,000"
17 Toh Yi Dr S(590017),5-Room,128.0 sqm,"$1,180,000"
425 Clementi Ave 1 S(120425),5-Room,113.0 sqm,"$1,187,999"
111 Clementi St 13 S(120111),Executive,146.0 sqm,"$1,188,000"
637 Bedok Reservoir Rd S(410637),Executive,142.0 sqm,"$1,188,888"
145 Lor Ah Soo S(530145),Executive,148.0 sqm,"$1,190,000"
285C Toh Guan Rd S(603285),Executive,145.0 sqm,"$1,196,800"
113B Mcnair Rd S(323113),4-Room,93.0 sqm,"$1,200,000"
10B Bendemeer Rd S(332010),4-Room,93.0 sqm,"$1,200,000"
53 C'wealth Dr S(142053),4-Room,96.0 sqm,"$1,200,000"
9 Boon Keng Rd S(330009),4-Room,95.0 sqm,"$1,200,000"
126 Bt Merah View S(151126),5-Room,128.0 sqm,"$1,200,000"
408 Sin Ming Ave S(570408),5-Room,120.0 sqm,"$1,200,000"
95 Havelock Rd S(160095),5-Room,118.0 sqm,"$1,200,000"
104A Ang Mo Kio St 11 S(560104),Executive,146.0 sqm,"$1,200,000"
301 Shunfu Rd S(570301),Executive,147.0 sqm,"$1,200,000"
1F Cantonment Rd S(085601),4-Room,94.0 sqm,"$1,230,000"
95C Henderson Rd S(153095),4-Room,93.0 sqm,"$1,238,000"
143 Lor 2 Toa Payoh S(310143),5-Room,110.0 sqm,"$1,238,000"
3 Holland Cl S(271003),5-Room,124.0 sqm,"$1,242,999"
9 Toh Yi Dr S(590009),5-Room,122.0 sqm,"$1,260,000"
26B St. George's Lane S(322026),4-Room,92.0 sqm,"$1,280,000"
53 Pipit Rd S(370053),Executive,153.0 sqm,"$1,280,000"
147 Lor 2 Toa Payoh S(310147),5-Room,110.0 sqm,"$1,288,000"
331 Woodlands Ave 1 S(730331),Executive,176.0 sqm,"$1,288,000"
7 Boon Keng Rd S(330007),5-Room,107.0 sqm,"$1,298,000"
19 Queen's Cl S(140019),5-Room,128.0 sqm,"$1,300,000"
1 Toh Yi Dr S(591501),5-Room,122.0 sqm,"$1,300,000"
108 Jln Rajah S(320108),Executive,157.0 sqm,"$1,300,000"
105A Bidadari Pk Dr S(341105),5-Room,114.0 sqm,"$1,328,000"
105A Bidadari Pk Dr S(341105),5-Room,114.0 sqm,"$1,330,000"
544 Jelapang Rd S(670544),Executive,142.0 sqm,"$1,338,888"
238 Bishan St 22 S(570238),Executive,143.0 sqm,"$1,349,000"
588D Ang Mo Kio St 52 S(564588),5-Room,117.0 sqm,"$1,350,000"
143 Mei Ling St S(140143),5-Room,122.0 sqm,"$1,350,000"
15 Toh Yi Dr S(590015),Executive,145.0 sqm,"$1,350,000"
1D Cantonment Rd S(085401),4-Room,95.0 sqm,"$1,360,000"
588B Ang Mo Kio St 52 S(562588),5-Room,120.0 sqm,"$1,398,800"
1D Cantonment Rd S(085401),4-Room,93.0 sqm,"$1,400,000"
7A C'wealth Ave S(141007),5-Room,128.0 sqm,"$1,400,000"
1C Cantonment Rd S(085301),4-Room,95.0 sqm,"$1,410,000"
9A Boon Tiong Rd S(162009),4-Room,92.0 sqm,"$1,450,000"
1F Cantonment Rd S(085601),4-Room,93.0 sqm,"$1,450,000"
452 Sin Ming Ave S(570452),Executive,145.0 sqm,"$1,450,000"
9 Toh Yi Dr S(590009),5-Room,127.0 sqm,"$1,500,000"
1F Cantonment Rd S(085601),5-Room,107.0 sqm,"$1,550,000"
138C Lor 1A Toa Payoh S(313138),5-Room,117.0 sqm,"$1,568,000"
96A Henderson Rd S(151096),5-Room,113.0 sqm,"$1,580,000"
275A Bishan St 24 S(571275),5-Room,120.0 sqm,"$1,580,000"
275A Bishan St 24 S(571275),5-Room,120.0 sqm,"$1,580,000"
1D Cantonment Rd S(085401),5-Room,107.0 sqm,"$1,580,000"
96A Henderson Rd S(151096),5-Room,113.0 sqm,"$1,599,999"
138B Lor 1A Toa Payoh S(312138),5-Room,114.0 sqm,"$1,599,999"
96A Henderson Rd S(151096),5-Room,113.0 sqm,"$1,610,000"
139B Lor 1A Toa Payoh S(312139),5-Room,117.0 sqm,"$1,650,000"
1C Cantonment Rd S(085301),5-Room,107.0 sqm,"$1,650,000"
